domain,accession,name,phylum,class,order,family,genus,species,genbank,protein,prokka,description,oldname
Bacteria,QOY88835.1,chunky,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY88835.1,NA,flagellar motor stator protein MotA,QOY88835.1_MotA_Paludibaculum
Bacteria,QXB11670.1,chunky,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,CP077293.1,QXB11670.1,NA,flagellar motor stator protein MotA,QXB11670.1_MotA_Klebsiella
Bacteria,UBQ05764.1,chunky,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas taiwanensis,CP083911.1,UBQ05764.1,NA,flagellar motor stator protein MotA,UBQ05764.1_MotA_Tepidimonas
Bacteria,AAG03587.1,duf1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa PAO1,AE004091.2,AAG03587.1,NA,transport protein ExbB,AAG03587.1_ExbB_Pseudomonas
Bacteria,AAR33363.1,duf1,Pseudomonadota,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter sulfurreducens PCA,AE017180.2,AAR33363.1,NA,biopolymer transport membrane proton channel TolQ-related protein,AAR33363.1
Bacteria,ABC76751.1,duf1,Pseudomonadota,Deltaproteobacteria,Syntrophales,Syntrophaceae,Syntrophus,Syntrophus aciditrophicus SB,CP000252.1,ABC76751.1,NA,tolQ protein,ABC76751.1_TolQ_Syntrophus
Bacteria,ABF85904.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF85904.1,NA,MotA/TolQ/ExbB proton channel family protein,ABF85904.1_AQB_Myxococcus
Bacteria,ABF91342.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF91342.1,NA,MotA/TolQ/ExbB proton channel family protein,ABF91342.1_AQB_Myxococcus
Bacteria,ABL64907.1,duf1,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides DSM 266,CP000492.1,ABL64907.1,NA,Cell division and transport-associated protein TolQ,ABL64907.1_TolQ_Chlorobium
Bacteria,ACL63649.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,CP001359.1,ACL63649.1,NA,MotA/TolQ/ExbB proton channel,ACL63649.1_AQB_Anaeromyxobacter
Bacteria,ACL64052.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,CP001359.1,ACL64052.1,NA,protein TolQ,ACL64052.1_TolQ_Anaeromyxobacter
Bacteria,ACO32834.1,duf1,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum ATCC 51196,CP001472.1,ACO32834.1,NA,transporter MotA/TolQ/ExbB proton channel family,ACO32834.1_AQB_Acidobacterium
Bacteria,ACX73814.1,duf1,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes subsp. succinogenes S85,CP001792.1,ACX73814.1,NA,MotA/TolQ/ExbB proton channel,ACX73814.1_AQB_Fibrobacter
Bacteria,ADO70054.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO70054.1,NA,TolQ protein,ADO70054.1_TolQ_Stigmatella
Bacteria,ADO73220.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO73220.1,NA,MotA/TolQ/ExbB proton channel family protein,ADO73220.1_AQB_Stigmatella
Bacteria,ADO74176.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO74176.1,NA,Adventurous gliding motility protein X,ADO74176.1_gliding_Stigmatella
Bacteria,ADO75002.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO75002.1,NA,MotA/TolQ/ExbB proton channel family protein,ADO75002.1_AQB_Stigmatella
Bacteria,ADO76074.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO76074.1,NA,MotA/TolQ/ExbB proton channel family protein,ADO76074.1_AQB_Stigmatella
Bacteria,ADY81763.1,duf1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii PHEA-2,CP002177.1,ADY81763.1,NA,putative biopolymer transport protein (ExbB-like),ADY81763.1_ExbBlike_Acinetobacter
Bacteria,ADY81773.1,duf1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii PHEA-2,CP002177.1,ADY81773.1,NA,putative biopolymer transport protein (ExbB-like),ADY81773.1_ExbBlike_Acinetobacter
Bacteria,AFE07999.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE07999.1,NA,MotA/TolQ/ExbB proton channel family protein,AFE07999.1_AQB_Corallococcus
Bacteria,AFE08685.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE08685.1,NA,MotA/TolQ/ExbB proton channel family protein,AFE08685.1_AQB_Corallococcus
Bacteria,AFE08686.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE08686.1,NA,TonB system transport protein ExbB/TolQ,AFE08686.1_ExbB/TolQ_Corallococcus
Bacteria,AFE10515.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE10515.1,NA,MotA/TolQ/ExbB proton channel family protein,AFE10515.1_AQB_Corallococcus
Bacteria,AFE10516.1,duf1,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE10516.1,NA,MotA/TolQ/ExbB proton channel family protein,AFE10516.1_AQB_Corallococcus
Bacteria,AFL86415.1,duf1,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus DSM 18391,CP003379.1,AFL86415.1,NA,biopolymer transport protein,AFL86415.1_Terriglobus
Bacteria,AFL88265.1,duf1,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus DSM 18391,CP003379.1,AFL88265.1,NA,biopolymer transport protein,AFL88265.1_Terriglobus
Bacteria,AKJ63346.1,duf1,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,CP010904.1,AKJ63346.1,NA,Biopolymer transport protein ExbB,AKJ63346.1_ExbB_Kiritimatiella
Bacteria,AMW06740.1,duf1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,CP011454.1,AMW06740.1,NA,hypothetical protein GEMMAAP_10105,AMW06740.1_HypGEMMAAP_10105_Gemmatimonas
Bacteria,APW42557.1,duf1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,CP019239.1,APW42557.1,NA,biopolymer transporter,APW42557.1_Rhodoferax
Bacteria,APW44370.1,duf1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,CP019239.1,APW44370.1,NA,flagellar motor protein MotA,APW44370.1_MotA_Rhodoferax
Bacteria,ATU63282.1,duf1,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,CP024645.1,ATU63282.1,NA,biopolymer transporter ExbB,ATU63282.1_ExbB_Rhizobacter
Bacteria,ATU64277.1,duf1,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,CP024645.1,ATU64277.1,NA,MotA/TolQ/ExbB proton channel family protein,ATU64277.1_AQB_Rhizobacter
Bacteria,ATX79746.1,duf1,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus aestuarium,CP018799.1,ATX79746.1,NA,Cell division and transport-associated protein TolQ,ATX79746.1_TolQ_Mariprofundus
Bacteria,ATX81939.1,duf1,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrinatatus,CP018800.1,ATX81939.1,NA,Cell division and transport-associated protein TolQ,ATX81939.1_TolQ_Mariprofundus
Bacteria,AVM45096.1,duf1,Lentisphaerae,Lentisphaeria,Victivallales,,,Victivallales bacterium CCUG 44730,CP027227.1,AVM45096.1,NA,hypothetical protein C5Q97_10465,AVM45096.1
Bacteria,AWV88602.1,duf1,Pseudomonadota,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,CP030032.1,AWV88602.1,NA,flagellar motor protein MotA,AWV88602.1_MotA_Bradymonas
Bacteria,AWV89332.1,duf1,Pseudomonadota,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,CP030032.1,AWV89332.1,NA,MotA/TolQ/ExbB proton channel family protein,AWV89332.1_AQB_Bradymonas
Bacteria,BAG40198.1,duf1,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia tsutsugamushi str. Ikeda,AP008981.1,BAG40198.1,NA,TolQ protein,BAG40198.1_TolQ_Orientia
Bacteria,BAH38987.1,duf1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca T-27,AP009153.1,BAH38987.1,NA,putative biopolymer transport protein,BAH38987.1_putative_Gemmatimonas
Bacteria,BAH39052.1,duf1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca T-27,AP009153.1,BAH39052.1,NA,putative biopolymer transport protein,BAH39052.1
Bacteria,BAM06957.1,duf1,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans C2-3,AP012342.1,BAM06957.1,NA,putative MotA/TolQ/ExbB proton channel,BAM06957.1_AQB_Leptospirillum
Bacteria,BCB95125.1,duf1,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae,Dissulfurispira,Dissulfurispira thermophila,AP022873.1,BCB95125.1,NA,protein TolQ,BCB95125.1_TolQ_Dissulfurispira
Bacteria,CAL34348.1,duf1,Pseudomonadota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,,CAL34348.1,NA,biopolymer transport protein,CAL34348.1_Campylobacter
Bacteria,CCB87689.1,duf1,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Parachlamydia,Parachlamydia acanthamoebae UV-7,,CCB87689.1,NA,putative uncharacterized protein,CCB87689.1_putative_Parachlamydia
Bacteria,EKT87439.2,duf1,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira santarosai serovar Shermani str. LT 821,CP006695.1,EKT87439.2,NA,TolQ transporter,EKT87439.2_TolQtransporter_Leptospira
Bacteria,QJR34785.1,duf1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas groenlandica,CP053085.1,QJR34785.1,NA,flagellar motor protein MotA,QJR34785.1_MotA_Gemmatimonas
Bacteria,QJR34845.1,duf1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas groenlandica,CP053085.1,QJR34845.1,NA,hypothetical protein HKW67_04610,QJR34845.1_HypHKW67_04610_Gemmatimonas
Bacteria,QNQ10683.1,duf1,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas alpina,CP061038.1,QNQ10683.1,NA,MotA/TolQ/ExbB proton channel family protein,QNQ10683.1_AQB_Sphingomonas
Bacteria,QOY87643.1,duf1,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY87643.1,NA,MotA/TolQ/ExbB proton channel family protein,QOY87643.1_AQB_Paludibaculum
Bacteria,QOY88067.1,duf1,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY88067.1,NA,MotA/TolQ/ExbB proton channel family protein,QOY88067.1_AQB_Paludibaculum
Bacteria,QTD52661.1,duf1,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Sulfidibacter,Sulfidibacter corallicola,CP071793.1,QTD52661.1,NA,MotA/TolQ/ExbB proton channel family protein,QTD52661.1_AQB_Sulfidibacter
Bacteria,QUV79767.1,duf1,Acidobacteria,Blastocatellia,,,Chloracidobacterium,Chloracidobacterium thermophilum,CP072632.1,QUV79767.1,NA,MotA/TolQ/ExbB proton channel family protein,QUV79767.1_AQB_Chloracidobacterium
Bacteria,SLM46359.1,duf1,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira japonica,,SLM46359.1,NA,Protein TolQ,SLM46359.1_TolQ_Nitrospira
Bacteria,SNW07143.1,duf1,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Eikenella corrodens,,SNW07143.1,NA,biopolymer transport protein ExbB,SNW07143.1_ExbB_Eikenella
Bacteria,UBQ04634.1,duf1,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas taiwanensis,CP083911.1,UBQ04634.1,NA,protein TolQ,UBQ04634.1_TolQ_Tepidimonas
Bacteria,UBQ06174.1,duf1,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas taiwanensis,CP083911.1,UBQ06174.1,NA,MotA/TolQ/ExbB proton channel family protein,UBQ06174.1_AQB_Tepidimonas
Bacteria,AAC07752.1,duf2,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus VF5,AE000657.1,AAC07752.1,NA,TolQ-like protein,AAC07752.1_TolQlike_Aquifex
Bacteria,ABG59284.1,duf2,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii ATCC 33406,CP000383.1,ABG59284.1,NA,outer membrane transport energization protein ExbB,ABG59284.1_ExbB_Cytophaga
Bacteria,ABG60812.1,duf2,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii ATCC 33406,CP000383.1,ABG60812.1,NA,outer membrane transport energization protein ExbB,ABG60812.1_ExbB_Cytophaga
Bacteria,ACB75629.1,duf2,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae PB90-1,CP001032.1,ACB75629.1,NA,MotA/TolQ/ExbB proton channel,ACB75629.1_AQB_Opitutus
Bacteria,ACD90995.1,duf2,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium limicola DSM 245,CP001097.1,ACD90995.1,NA,MotA/TolQ/ExbB proton channel,ACD90995.1_AQB_Chlorobium
Bacteria,ACF43024.1,duf2,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon phaeoclathratiforme BU-1,CP001110.1,ACF43024.1,NA,MotA/TolQ/ExbB proton channel,ACF43024.1_AQB_Pelodictyon
Bacteria,ACV38437.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis C-1013-b,CP001685.1,ACV38437.1,NA,MotA/TolQ/ExbB proton channel,ACV38437.1_AQB_Leptotrichia
Bacteria,ACX75484.1,duf2,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes subsp. succinogenes S85,CP001792.1,ACX75484.1,NA,MotA/TolQ/ExbB proton channel,ACX75484.1_AQB_Fibrobacter
Bacteria,ADB15652.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB15652.1,NA,MotA/TolQ/ExbB proton channel,ADB15652.1_AQB_Pirellula
Bacteria,ADB17134.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB17134.1,NA,MotA/TolQ/ExbB proton channel,ADB17134.1_AQB_Pirellula
Bacteria,ADB17547.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB17547.1,NA,MotA/TolQ/ExbB proton channel,ADB17547.1_AQB_Pirellula
Bacteria,ADB18835.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB18835.1,NA,MotA/TolQ/ExbB proton channel,ADB18835.1_AQB_Pirellula
Bacteria,ADC89509.1,duf2,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus DSM 14484,CP001931.1,ADC89509.1,NA,MotA/TolQ/ExbB proton channel,ADC89509.1_AQB_Thermocrinis
Bacteria,ADI15492.1,duf2,Deinococcus-Thermus,Deinococci,Trueperales,Trueperaceae,Truepera,Truepera radiovictrix DSM 17093,CP002049.1,ADI15492.1,NA,MotA/TolQ/ExbB proton channel,ADI15492.1_AQB_Truepera
Bacteria,ADO44512.1,duf2,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus TK-6,CP002221.1,ADO44512.1,NA,MotA/TolQ/ExbB proton channel,ADO44512.1_AQB_Hydrogenobacter
Bacteria,ADO68798.1,duf2,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO68798.1,NA,MotA/TolQ/ExbB proton channel family protein,ADO68798.1_AQB_Stigmatella
Bacteria,ADO72879.1,duf2,Pseudomonadota,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,CP002271.1,ADO72879.1,NA,MotA/TolQ/ExbB proton channel family protein,ADO72879.1_AQB_Stigmatella
Bacteria,ADV60824.1,duf2,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Isosphaera,Isosphaera pallida ATCC 43644,CP002353.1,ADV60824.1,NA,MotA/TolQ/ExbB proton channel,ADV60824.1_AQB_Isosphaera
Bacteria,ADV67905.1,duf2,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus maricopensis DSM 21211,CP002454.1,ADV67905.1,NA,MotA/TolQ/ExbB proton channel,ADV67905.1_AQB_Deinococcus
Bacteria,ADY59818.1,duf2,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis DSM 5305,CP002546.1,ADY59818.1,NA,hypothetical protein Plabr_2216,ADY59818.1
Bacteria,ADY81529.1,duf2,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii PHEA-2,CP002177.1,ADY81529.1,NA,hypothetical protein BDGL_000943,ADY81529.1_HypBDGL_000943_Acinetobacter
Bacteria,AEB12216.1,duf2,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Marinithermus,Marinithermus hydrothermalis DSM 14884,CP002630.1,AEB12216.1,NA,MotA/TolQ/ExbB proton channel,AEB12216.1_AQB_Marinithermus
Bacteria,AEI15149.1,duf2,Deferribacteres,Deferribacteres,Deferribacterales,Flexistipitaceae,Flexistipes,Flexistipes sinusarabici DSM 4947,CP002858.1,AEI15149.1,NA,MotA/TolQ/ExbB proton channel,AEI15149.1_AQB_Flexistipes
Bacteria,AEW00830.1,duf2,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella koreensis GR20-10,CP003178.1,AEW00830.1,NA,outer membrane transport energization protein ExbB,AEW00830.1_ExbB_Niastella
Bacteria,AFE07994.1,duf2,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE07994.1,NA,MotA/TolQ/ExbB proton channel family protein,AFE07994.1_AQB_Corallococcus
